// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2017-08-16 15:45:24.37,-364,-1664,-16225,20,107,-139,668,-704,1372,18
,2,2017-08-16 15:45:24.38,-287,-1685,-16172,25,107,-141,734,-743,1477,4
,3,2017-08-16 15:45:24.39,-141,-1761,-16249,28,106,-140,780,-790,1570,5
,4,2017-08-16 15:45:24.40,-32,-1830,-16509,37,111,-138,803,-820,1623,8
,5,2017-08-16 15:45:24.41,-36,-2055,-16875,59,69,-141,752,-789,1541,18
,6,2017-08-16 15:45:24.42,182,-1870,-17345,77,55,-144,730,-764,1494,17
,7,2017-08-16 15:45:24.43,332,-1983,-17373,64,83,-151,686,-724,1410,19
,8,2017-08-16 15:45:24.44,253,-2133,-17366,59,98,-156,672,-691,1363,9
,9,2017-08-16 15:45:24.45,154,-2122,-17353,64,113,-160,654,-679,1333,12
,10,2017-08-16 15:45:24.46,235,-2184,-17451,63,105,-162,677,-703,1380,13
,11,2017-08-16 15:45:24.47,169,-2280,-17547,70,82,-161,725,-756,1481,15
,12,2017-08-16 15:45:24.48,184,-2358,-17468,84,43,-157,786,-807,1593,10
,13,2017-08-16 15:45:24.49,65,-2395,-17355,98,1,-153,774,-818,1592,22
,14,2017-08-16 15:45:24.50,-100,-2336,-17183,107,-31,-148,755,-799,1554,22
,15,2017-08-16 15:45:24.51,-82,-2353,-16914,103,-60,-144,753,-790,1543,18
,16,2017-08-16 15:45:24.52,-133,-2259,-16731,88,-56,-141,771,-799,1570,14
,17,2017-08-16 15:45:24.53,-272,-2267,-16541,56,-31,-140,675,-743,1418,34
,18,2017-08-16 15:45:24.54,-275,-2349,-16402,32,-33,-136,642,-706,1348,32
,19,2017-08-16 15:45:24.55,-448,-2259,-16174,20,-40,-135,660,-684,1344,12
,20,2017-08-16 15:45:24.56,-434,-2079,-15952,-2,-55,-133,676,-683,1359,3
,21,2017-08-16 15:45:24.57,-383,-1837,-15812,-30,-34,-136,730,-734,1464,2
,22,2017-08-16 15:45:24.58,-336,-1789,-15873,-75,18,-142,774,-785,1559,5
,23,2017-08-16 15:45:24.59,-370,-1718,-15993,-106,54,-154,753,-804,1557,25
,24,2017-08-16 15:45:24.60,-362,-1793,-16054,-118,75,-161,728,-806,1534,39
,25,2017-08-16 15:45:24.61,-297,-1849,-16115,-116,87,-165,706,-784,1490,39
,26,2017-08-16 15:45:24.62,-219,-1995,-16435,-89,64,-169,724,-770,1494,23
,27,2017-08-16 15:45:24.63,-213,-1932,-16644,-51,42,-167,752,-760,1512,4
,28,2017-08-16 15:45:24.64,-131,-1700,-16738,-25,49,-167,794,-765,1559,-14
,29,2017-08-16 15:45:24.65,2,-1900,-16331,0,69,-169,796,-792,1588,-2
,30,2017-08-16 15:45:24.66,-75,-1839,-16851,33,61,-168,779,-816,1595,18
,31,2017-08-16 15:45:24.67,37,-1494,-16978,45,71,-169,752,-825,1577,36
,32,2017-08-16 15:45:24.68,-85,-1703,-17010,37,90,-174,754,-824,1578,35
,33,2017-08-16 15:45:24.69,-9,-1933,-17080,48,78,-175,768,-822,1590,27
,34,2017-08-16 15:45:24.70,117,-1923,-17354,73,58,-178,776,-819,1595,21
,35,2017-08-16 15:45:24.71,-147,-2065,-17589,85,44,-175,772,-818,1590,23
,36,2017-08-16 15:45:24.72,-109,-2277,-17665,88,29,-170,773,-818,1591,22
,37,2017-08-16 15:45:24.73,-307,-2325,-17490,95,11,-161,708,-759,1467,25
,38,2017-08-16 15:45:24.74,-411,-2386,-17143,106,-38,-150,698,-706,1404,4
,39,2017-08-16 15:45:24.75,-357,-2259,-16865,116,-66,-134,717,-731,1448,7
,40,2017-08-16 15:45:24.76,-447,-2048,-16623,100,-53,-131,735,-779,1514,22
,41,2017-08-16 15:45:24.77,-450,-2155,-16609,71,-21,-131,746,-813,1559,33
,42,2017-08-16 15:45:24.78,-444,-1975,-16649,55,-10,-133,771,-812,1583,20
,43,2017-08-16 15:45:24.79,-506,-2095,-16811,32,-4,-137,769,-801,1570,16
,44,2017-08-16 15:45:24.80,-626,-2072,-17019,6,-3,-142,787,-805,1592,9
,45,2017-08-16 15:45:24.81,-592,-2190,-17131,2,-28,-147,775,-819,1594,22
,46,2017-08-16 15:45:24.82,-640,-2060,-17132,-6,-37,-148,781,-830,1611,24
,47,2017-08-16 15:45:24.83,-746,-2184,-17058,-12,-45,-149,730,-786,1516,28
,48,2017-08-16 15:45:24.84,-733,-2219,-16844,-2,-55,-147,697,-735,1432,19
,49,2017-08-16 15:45:24.85,-696,-2174,-16610,7,-29,-149,680,-698,1378,9
,50,2017-08-16 15:45:24.86,-699,-2298,-16770,11,3,-145,705,-694,1399,-5
,51,2017-08-16 15:45:24.87,-762,-2484,-17024,21,40,-141,693,-721,1414,14
,52,2017-08-16 15:45:24.88,-851,-2579,-17168,46,47,-131,712,-751,1463,19
,53,2017-08-16 15:45:24.89,-778,-2705,-17192,68,30,-116,758,-790,1548,16
,54,2017-08-16 15:45:24.90,-732,-2703,-17117,80,38,-107,792,-818,1610,13
,55,2017-08-16 15:45:24.91,-723,-2750,-17215,89,37,-102,775,-812,1587,18
,56,2017-08-16 15:45:24.92,-784,-2644,-17090,81,70,-97,756,-784,1540,14
,57,2017-08-16 15:45:24.93,-691,-2797,-17098,69,84,-99,714,-742,1456,14
,58,2017-08-16 15:45:24.94,-589,-2731,-16978,66,73,-102,687,-709,1396,11
,59,2017-08-16 15:45:24.95,-530,-2744,-17110,66,58,-110,614,-682,1296,34
,60,2017-08-16 15:45:24.96,-511,-2702,-17264,63,37,-120,610,-669,1279,29
,61,2017-08-16 15:45:24.97,-517,-2617,-17365,44,36,-135,698,-726,1424,14
,62,2017-08-16 15:45:24.98,-498,-2658,-17474,25,35,-155,783,-784,1567,0
