// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,50,2017-08-27 15:48:15.72,164,-2778,-16247,-133,14,-82,375,736,-361,-555
,51,2017-08-27 15:48:15.73,261,-2706,-16350,-156,-18,-88,58,484,-426,-271
,52,2017-08-27 15:48:15.74,310,-2754,-16411,-177,-37,-88,354,788,-434,-571
,53,2017-08-27 15:48:15.75,204,-2742,-16482,-186,-54,-89,744,1090,-346,-917
,54,2017-08-27 15:48:15.76,315,-2776,-16370,-186,-68,-89,798,1086,-288,-942
,55,2017-08-27 15:48:15.77,429,-2806,-16247,-170,-67,-90,656,914,-258,-785
,56,2017-08-27 15:48:15.78,542,-2791,-16219,-148,-54,-92,648,914,-266,-781
,57,2017-08-27 15:48:15.79,468,-2858,-16341,-122,-45,-89,687,979,-292,-833
,58,2017-08-27 15:48:15.80,530,-2965,-16583,-93,-43,-83,680,1007,-327,-843
,59,2017-08-27 15:48:15.81,442,-3083,-16749,-66,-30,-72,638,966,-328,-802
,60,2017-08-27 15:48:15.82,391,-3177,-16850,-41,-21,-55,599,876,-277,-737
,61,2017-08-27 15:48:15.83,481,-3307,-16864,-21,-14,-37,570,783,-213,-676
,62,2017-08-27 15:48:15.84,615,-3323,-16850,2,-16,-20,548,703,-155,-625
,63,2017-08-27 15:48:15.85,509,-3399,-16931,16,3,-4,521,628,-107,-574
,64,2017-08-27 15:48:15.86,662,-3421,-16771,29,25,10,498,516,-18,-507
,65,2017-08-27 15:48:15.87,763,-3391,-16594,42,38,21,472,364,108,-418
,66,2017-08-27 15:48:15.88,857,-3491,-16547,52,55,24,451,180,271,-315
,67,2017-08-27 15:48:15.89,917,-3441,-16365,55,76,23,429,104,325,-266
,68,2017-08-27 15:48:15.90,978,-3331,-16233,58,96,18,410,195,215,-302
,69,2017-08-27 15:48:15.91,1104,-3353,-16183,47,117,9,401,-24,425,-188
,70,2017-08-27 15:48:15.92,1135,-3286,-16195,32,135,1,372,-792,1164,210
,71,2017-08-27 15:48:15.93,1172,-3233,-16130,11,147,-6,324,-1323,1647,499
,72,2017-08-27 15:48:15.94,1374,-3166,-15986,0,151,-16,299,-1259,1558,480
,73,2017-08-27 15:48:15.95,1456,-3115,-15859,-11,162,-28,241,-992,1233,375
,74,2017-08-27 15:48:15.96,1710,-3086,-15854,-12,177,-43,118,-895,1013,388
,75,2017-08-27 15:48:15.97,1670,-3050,-15965,-15,186,-55,-258,-908,650,583
,76,2017-08-27 15:48:15.98,1796,-3021,-16119,-17,182,-67,-793,-1121,328,957
,77,2017-08-27 15:48:15.99,1770,-2919,-16209,-20,182,-79,-1288,-1437,149,1362
,78,2017-08-27 15:48:16.00,1886,-2894,-16294,-26,168,-91,-1664,-1732,68,1698
,79,2017-08-27 15:48:16.01,2004,-2715,-16396,-35,155,-101,-1738,-1876,138,1807
,80,2017-08-27 15:48:16.02,2134,-2625,-16466,-51,143,-117,-1621,-1863,242,1742
,81,2017-08-27 15:48:16.03,2030,-2646,-16516,-73,142,-130,-1397,-1761,364,1579
,82,2017-08-27 15:48:16.04,1960,-2774,-16653,-88,134,-135,-1088,-1615,527,1351
,83,2017-08-27 15:48:16.05,1990,-3006,-16849,-92,119,-138,-1048,-1572,524,1310
,84,2017-08-27 15:48:16.06,1967,-3064,-16923,-82,92,-132,-1303,-1633,330,1468
,85,2017-08-27 15:48:16.07,2034,-3049,-16918,-78,74,-122,-1074,-1380,306,1227
,86,2017-08-27 15:48:16.08,2022,-3068,-16742,-66,66,-116,-618,-948,330,783
,87,2017-08-27 15:48:16.09,2089,-3078,-16660,-53,54,-106,-552,-732,180,642
,88,2017-08-27 15:48:16.10,2122,-3151,-16497,-31,50,-95,-58,-209,151,133
,89,2017-08-27 15:48:16.11,2091,-3135,-16519,-16,63,-83,182,-141,323,-20
,90,2017-08-27 15:48:16.12,2028,-3166,-16449,-6,81,-74,531,-168,699,-181
,91,2017-08-27 15:48:16.13,1858,-3131,-16473,11,84,-67,662,-197,859,-232
,92,2017-08-27 15:48:16.14,1946,-3049,-16248,23,85,-61,432,-412,844,-10
,93,2017-08-27 15:48:16.15,2011,-2918,-16070,33,82,-65,611,-280,891,-165
,94,2017-08-27 15:48:16.16,2138,-2689,-15934,37,88,-76,1526,680,846,-1103
,95,2017-08-27 15:48:16.17,2060,-2624,-16067,28,110,-88,2047,1661,386,-1854
,96,2017-08-27 15:48:16.18,1993,-2730,-16270,7,120,-100,2047,1448,599,-1747
,97,2017-08-27 15:48:16.19,1974,-2736,-16361,-8,110,-113,2047,450,1597,-1248
,98,2017-08-27 15:48:16.20,1887,-2692,-16630,-26,95,-116,2047,-143,2190,-952
,99,2017-08-27 15:48:16.21,1801,-2797,-16702,-52,74,-124,-197,44,-241,76
,100,2017-08-27 15:48:16.22,1692,-2833,-16810,-72,46,-128,-676,439,-1115,118
,101,2017-08-27 15:48:16.23,1687,-2984,-16851,-79,7,-124,91,390,-299,-240
,102,2017-08-27 15:48:16.24,1604,-3110,-16826,-79,-33,-115,691,128,563,-409
,103,2017-08-27 15:48:16.25,1485,-3282,-16916,-74,-61,-103,1024,182,842,-603
,104,2017-08-27 15:48:16.26,1393,-3416,-16854,-64,-83,-80,1436,695,741,-1065
,105,2017-08-27 15:48:16.27,1112,-3453,-16824,-50,-100,-53,1398,951,447,-1174
,106,2017-08-27 15:48:16.28,1131,-3463,-16664,-33,-112,-26,468,294,174,-381
,107,2017-08-27 15:48:16.29,1070,-3320,-16571,-23,-121,-4,454,153,301,-303
,108,2017-08-27 15:48:16.30,1019,-3176,-16404,-11,-128,14,880,392,488,-636
,109,2017-08-27 15:48:16.31,1046,-3018,-16327,-12,-128,21,1082,569,513,-825
,110,2017-08-27 15:48:16.32,1016,-2874,-16260,-12,-116,19,1005,576,429,-790
,111,2017-08-27 15:48:16.33,1057,-2607,-16092,-20,-101,11,858,484,374,-671
,112,2017-08-27 15:48:16.34,994,-2535,-15992,-35,-87,-2,891,507,384,-699
,113,2017-08-27 15:48:16.35,930,-2412,-15965,-51,-76,-13,1050,629,421,-839
,114,2017-08-27 15:48:16.36,872,-2458,-15970,-68,-54,-21,1136,734,402,-935
,115,2017-08-27 15:48:16.37,850,-2456,-15842,-80,-29,-29,1095,729,366,-912
,116,2017-08-27 15:48:16.38,1013,-2445,-15708,-85,-9,-35,946,613,333,-779
,117,2017-08-27 15:48:16.39,1175,-2203,-15573,-80,13,-42,695,380,315,-537
,118,2017-08-27 15:48:16.40,1501,-1943,-15536,-77,53,-54,688,334,354,-511
,119,2017-08-27 15:48:16.41,1608,-1805,-15590,-90,111,-70,813,434,379,-623
,120,2017-08-27 15:48:16.42,1757,-1739,-15671,-105,163,-83,714,364,350,-539
,121,2017-08-27 15:48:16.43,1877,-1630,-15834,-108,186,-97,695,342,353,-518
,122,2017-08-27 15:48:16.44,2025,-1663,-16073,-115,194,-109,737,372,365,-554
,123,2017-08-27 15:48:16.45,2082,-1806,-16321,-123,192,-117,651,307,344,-479
,124,2017-08-27 15:48:16.46,2179,-1947,-16559,-123,174,-121,370,68,302,-219
,125,2017-08-27 15:48:16.47,2080,-2087,-16778,-119,146,-119,45,-217,262,86
,126,2017-08-27 15:48:16.48,2238,-2229,-16827,-113,123,-110,-21,-288,267,154
,127,2017-08-27 15:48:16.49,2146,-2301,-16927,-99,94,-105,155,-124,279,-15
,128,2017-08-27 15:48:16.50,2156,-2313,-16926,-83,76,-96,-131,-345,214,238
,129,2017-08-27 15:48:16.51,2095,-2429,-16986,-62,54,-95,2,-236,238,117
,130,2017-08-27 15:48:16.52,2055,-2638,-17100,-38,27,-91,416,127,289,-271
,131,2017-08-27 15:48:16.53,1944,-2798,-17144,-16,8,-82,649,361,288,-505
,132,2017-08-27 15:48:16.54,1984,-2902,-17123,14,-24,-76,622,372,250,-497
,133,2017-08-27 15:48:16.55,2007,-2908,-17040,38,-48,-69,513,283,230,-398
,134,2017-08-27 15:48:16.56,2062,-2918,-16797,56,-60,-64,450,294,156,-372
,135,2017-08-27 15:48:16.57,2079,-2948,-16611,66,-63,-63,446,414,32,-430
,136,2017-08-27 15:48:16.58,2048,-2991,-16394,73,-47,-63,451,585,-134,-518
,137,2017-08-27 15:48:16.59,2054,-3032,-16272,71,-31,-62,440,700,-260,-570
,138,2017-08-27 15:48:16.60,1972,-3112,-16123,74,-15,-65,422,763,-341,-592
,139,2017-08-27 15:48:16.61,2010,-3291,-16057,77,2,-64,402,698,-296,-550
,140,2017-08-27 15:48:16.62,2154,-3440,-16049,83,27,-65,382,542,-160,-462
,141,2017-08-27 15:48:16.63,2169,-3533,-16039,89,45,-67,366,411,-45,-388
,142,2017-08-27 15:48:16.64,2308,-3577,-16001,98,73,-72,352,308,44,-330
,143,2017-08-27 15:48:16.65,2384,-3656,-16010,106,105,-72,340,429,-89,-384
,144,2017-08-27 15:48:16.66,2477,-3717,-15985,109,137,-71,330,574,-244,-452
,145,2017-08-27 15:48:16.67,2524,-3824,-16002,113,170,-74,316,545,-229,-430
,146,2017-08-27 15:48:16.68,2630,-3760,-16037,117,199,-72,298,461,-163,-379
,147,2017-08-27 15:48:16.69,2664,-3868,-16173,123,213,-74,275,370,-95,-322
,148,2017-08-27 15:48:16.70,2743,-3826,-16216,122,228,-71,243,178,65,-210
,149,2017-08-27 15:48:16.71,2903,-3843,-16195,122,237,-69,176,10,166,-93
,150,2017-08-27 15:48:16.72,2857,-3737,-16227,118,242,-68,-212,-432,220,322
,151,2017-08-27 15:48:16.73,2954,-3701,-16334,115,242,-71,-239,-749,510,494
,152,2017-08-27 15:48:16.74,3097,-3547,-16367,108,233,-72,-504,-1013,509,758
,153,2017-08-27 15:48:16.75,3185,-3403,-16353,99,220,-76,-766,-1084,318,925
,154,2017-08-27 15:48:16.76,3256,-3329,-16412,81,210,-81,-752,-1003,251,877
,155,2017-08-27 15:48:16.77,3299,-3181,-16333,66,198,-88,-348,-750,402,549
,156,2017-08-27 15:48:16.78,3338,-3127,-16242,46,191,-96,106,-541,647,217
,157,2017-08-27 15:48:16.79,3453,-3057,-16203,33,180,-103,340,-442,782,51
,158,2017-08-27 15:48:16.80,3428,-2954,-16319,20,172,-107,-251,-750,499,500
,159,2017-08-27 15:48:16.81,3611,-2870,-16269,4,158,-111,-760,-1104,344,932
,160,2017-08-27 15:48:16.82,3571,-2818,-16225,-3,141,-115,-702,-1130,428,916
,161,2017-08-27 15:48:16.83,3714,-2783,-16254,0,108,-117,-360,-942,582,651
,162,2017-08-27 15:48:16.84,3849,-2844,-16114,0,91,-121,-462,-979,517,720
,163,2017-08-27 15:48:16.85,3872,-2839,-16020,3,95,-120,-241,-658,417,449
,164,2017-08-27 15:48:16.86,3892,-2834,-16018,6,112,-117,479,464,15,-471
,165,2017-08-27 15:48:16.87,4010,-3003,-15988,5,128,-116,1091,1217,-126,-1154
,166,2017-08-27 15:48:16.88,3957,-3015,-16010,8,147,-107,1152,1036,116,-1094
,167,2017-08-27 15:48:16.89,4012,-3130,-15890,9,164,-101,243,666,-423,-454
,168,2017-08-27 15:48:16.90,3986,-3036,-15826,18,166,-93,-812,80,-892,366
,169,2017-08-27 15:48:16.91,3993,-3038,-15775,20,180,-87,-874,83,-957,395
,170,2017-08-27 15:48:16.92,4165,-3091,-15799,28,190,-78,-360,736,-1096,-188
,171,2017-08-27 15:48:16.93,4149,-3102,-15684,40,190,-74,415,1087,-672,-751
,172,2017-08-27 15:48:16.94,4112,-3001,-15692,49,183,-71,796,560,236,-678
,173,2017-08-27 15:48:16.95,4163,-2918,-15894,51,174,-67,666,1,665,-333
,174,2017-08-27 15:48:16.96,4108,-2915,-16122,49,167,-66,-162,-654,492,408
,175,2017-08-27 15:48:16.97,4173,-2937,-16350,38,155,-68,-326,-670,344,498
,176,2017-08-27 15:48:16.98,4011,-2927,-16558,32,130,-67,222,-338,560,58
,177,2017-08-27 15:48:16.99,4024,-2988,-16744,19,96,-67,894,-88,982,-403
,178,2017-08-27 15:48:17.00,3866,-3084,-16867,4,54,-65,1023,-27,1050,-498
,179,2017-08-27 15:48:17.01,3758,-3207,-16805,3,2,-63,1020,140,880,-580
,180,2017-08-27 15:48:17.02,3651,-3241,-16756,9,-58,-59,973,238,735,-605
,181,2017-08-27 15:48:17.03,3523,-3342,-16738,13,-105,-53,910,263,647,-586
,182,2017-08-27 15:48:17.04,3410,-3346,-16700,23,-147,-49,853,147,706,-500
,183,2017-08-27 15:48:17.05,3345,-3378,-16643,23,-153,-43,801,20,781,-410
,184,2017-08-27 15:48:17.06,3198,-3468,-16605,23,-152,-40,756,-29,785,-363
,185,2017-08-27 15:48:17.07,3147,-3487,-16505,35,-172,-36,712,-29,741,-341
,186,2017-08-27 15:48:17.08,3050,-3588,-16463,48,-196,-33,674,-20,694,-327
,187,2017-08-27 15:48:17.09,2968,-3498,-16232,57,-213,-30,638,-19,657,-309
,188,2017-08-27 15:48:17.10,2891,-3414,-16184,65,-226,-32,608,-22,630,-293
,189,2017-08-27 15:48:17.11,2849,-3336,-16074,63,-220,-33,576,53,523,-314
,190,2017-08-27 15:48:17.12,2923,-3294,-15932,59,-209,-41,541,439,102,-490
,191,2017-08-27 15:48:17.13,2740,-3333,-15862,48,-189,-44,506,599,-93,-552
,192,2017-08-27 15:48:17.14,2744,-3366,-15757,44,-174,-49,473,630,-157,-551
,193,2017-08-27 15:48:17.15,2841,-3357,-15670,38,-152,-58,450,612,-162,-531
,194,2017-08-27 15:48:17.16,2909,-3126,-15673,34,-131,-69,431,269,162,-350
,195,2017-08-27 15:48:17.17,2959,-2807,-15877,6,-90,-108,415,10,405,-212
,196,2017-08-27 15:48:17.18,3158,-2754,-15804,-14,-85,-128,390,24,366,-207
,197,2017-08-27 15:48:17.19,3138,-2738,-15888,-36,-74,-141,368,200,168,-284
,198,2017-08-27 15:48:17.20,3135,-2734,-16011,-68,-54,-148,351,312,39,-331
,199,2017-08-27 15:48:17.21,3162,-3002,-16181,-90,-54,-150,340,241,99,-290
,200,2017-08-27 15:48:17.22,3060,-3181,-16376,-98,-58,-140,326,279,47,-302
,201,2017-08-27 15:48:17.23,3094,-3286,-16486,-95,-66,-125,303,497,-194,-400
,202,2017-08-27 15:48:17.24,3209,-3398,-16791,-84,-80,-101,300,274,26,-287
,203,2017-08-27 15:48:17.25,3123,-3439,-16919,-69,-88,-76,287,-244,531,-21
,204,2017-08-27 15:48:17.26,3073,-3437,-16806,-50,-102,-46,278,-530,808,126
,205,2017-08-27 15:48:17.27,3100,-3413,-16674,-28,-105,-16,260,-546,806,143
,206,2017-08-27 15:48:17.28,2955,-3302,-16475,-13,-100,15,249,-448,697,99
,207,2017-08-27 15:48:17.29,3016,-3290,-16407,0,-95,40,241,-391,632,75
,208,2017-08-27 15:48:17.30,2984,-3217,-16227,19,-81,62,234,-376,610,71
,209,2017-08-27 15:48:17.31,2913,-3157,-16145,28,-74,77,228,-373,601,72
,210,2017-08-27 15:48:17.32,2911,-3063,-16165,35,-57,90,222,-360,582,69
,211,2017-08-27 15:48:17.33,2908,-3006,-16092,39,-40,99,220,-339,559,59
,212,2017-08-27 15:48:17.34,2884,-2908,-16090,38,-24,101,218,-318,536,50
,213,2017-08-27 15:48:17.35,2862,-2800,-16168,26,-9,97,219,-298,517,39
,214,2017-08-27 15:48:17.36,2964,-2734,-16089,14,12,91,217,-282,499,32
,215,2017-08-27 15:48:17.37,2930,-2785,-16179,1,30,83,216,-268,484,26
,216,2017-08-27 15:48:17.38,2892,-2730,-16219,-13,40,76,213,-260,473,23
,217,2017-08-27 15:48:17.39,3019,-2718,-16233,-27,52,66,207,-252,459,22
,218,2017-08-27 15:48:17.40,3014,-2702,-16195,-33,60,60,199,-244,443,22
,219,2017-08-27 15:48:17.41,3062,-2730,-16244,-38,70,45,190,-236,426,23
,220,2017-08-27 15:48:17.42,3049,-2708,-16229,-36,74,35,187,-228,415,20
,221,2017-08-27 15:48:17.43,3070,-2722,-16268,-30,77,25,186,-220,406,17
,222,2017-08-27 15:48:17.44,3088,-2706,-16270,-21,78,16,188,-212,400,12
,223,2017-08-27 15:48:17.45,3099,-2858,-16264,-9,78,11,190,-202,392,6
,224,2017-08-27 15:48:17.46,3115,-2921,-16221,6,75,10,184,-198,382,7
,225,2017-08-27 15:48:17.47,3176,-2946,-16106,22,78,11,179,-195,374,8
,226,2017-08-27 15:48:17.48,3116,-3121,-16241,38,74,17,172,-194,366,11
,227,2017-08-27 15:48:17.49,3184,-3264,-16413,56,75,21,170,-189,359,9
,228,2017-08-27 15:48:17.50,3170,-3384,-16519,70,65,30,167,-185,352,9
,229,2017-08-27 15:48:17.51,3070,-3514,-16523,81,51,42,167,-180,347,6
,230,2017-08-27 15:48:17.52,3112,-3569,-16528,90,41,54,169,-175,344,3
,231,2017-08-27 15:48:17.53,3198,-3496,-16436,94,32,68,166,-172,338,3
,232,2017-08-27 15:48:17.54,3126,-3431,-16355,89,27,77,168,-173,341,2
,233,2017-08-27 15:48:17.55,3135,-3290,-16225,77,27,85,163,-168,331,2
,234,2017-08-27 15:48:17.56,3229,-3326,-16167,62,28,91,174,-163,337,-5
,235,2017-08-27 15:48:17.57,3169,-3321,-16183,46,28,99,174,-156,330,-9
,236,2017-08-27 15:48:17.58,3233,-3328,-16216,34,24,103,180,-151,331,-14
,237,2017-08-27 15:48:17.59,3321,-3264,-16119,28,16,103,180,-148,328,-16
,238,2017-08-27 15:48:17.60,3262,-3232,-16135,19,17,106,188,-138,326,-25
,239,2017-08-27 15:48:17.61,3232,-3151,-16177,10,17,105,189,-135,324,-27
,240,2017-08-27 15:48:17.62,3352,-3156,-16146,1,15,102,194,-129,323,-32
,241,2017-08-27 15:48:17.63,3280,-3173,-16193,-10,14,104,195,-132,327,-31
,242,2017-08-27 15:48:17.64,3419,-3117,-16238,-19,13,107,189,-140,329,-24
,243,2017-08-27 15:48:17.65,3432,-3094,-16269,-32,12,109,196,-129,325,-33
,244,2017-08-27 15:48:17.66,3478,-3055,-16345,-45,17,112,191,-126,317,-32
,245,2017-08-27 15:48:17.67,3448,-3151,-16418,-56,22,120,189,-127,316,-31
,246,2017-08-27 15:48:17.68,3406,-3196,-16360,-57,19,126,189,-125,314,-32
,247,2017-08-27 15:48:17.69,3443,-3252,-16375,-49,14,138,192,-123,315,-34
,248,2017-08-27 15:48:17.70,3453,-3275,-16379,-44,12,146,196,-118,314,-39
,249,2017-08-27 15:48:17.71,3483,-3214,-16377,-30,10,155,195,-116,311,-39
,250,2017-08-27 15:48:17.72,3388,-3143,-16234,-18,13,165,189,-117,306,-36
,251,2017-08-27 15:48:17.73,3479,-3184,-16228,-7,17,172,184,-121,305,-31
,252,2017-08-27 15:48:17.74,3553,-3114,-16333,-1,27,176,177,-126,303,-25
,253,2017-08-27 15:48:17.75,3561,-3079,-16369,-1,35,177,171,-130,301,-20
,254,2017-08-27 15:48:17.76,3566,-3130,-16465,-1,39,177,161,-133,294,-14
,255,2017-08-27 15:48:17.77,3549,-3020,-16602,-8,40,175,159,-134,293,-12
,256,2017-08-27 15:48:17.78,3551,-3063,-16681,-17,32,172,158,-134,292,-12
,257,2017-08-27 15:48:17.79,3534,-3095,-16713,-23,21,173,157,-132,289,-12
,258,2017-08-27 15:48:17.80,3516,-3021,-16575,-29,8,172,157,-132,289,-12
,259,2017-08-27 15:48:17.81,3439,-3025,-16481,-33,0,170,156,-132,288,-12
,260,2017-08-27 15:48:17.82,3489,-2977,-16425,-33,-4,169,157,-133,290,-12
,261,2017-08-27 15:48:17.83,3489,-2935,-16421,-31,-8,169,160,-131,291,-14
,262,2017-08-27 15:48:17.84,3504,-2903,-16532,-30,-14,164,163,-130,293,-16
,263,2017-08-27 15:48:17.85,3534,-2841,-16659,-33,-14,163,162,-129,291,-16
,264,2017-08-27 15:48:17.86,3480,-2887,-16723,-35,-22,162,163,-128,291,-17
,265,2017-08-27 15:48:17.87,3416,-2794,-16867,-40,-33,157,164,-128,292,-18
,266,2017-08-27 15:48:17.88,3332,-2831,-16796,-45,-47,156,168,-125,293,-21
,267,2017-08-27 15:48:17.89,3272,-2845,-16583,-44,-57,155,168,-125,293,-21
,268,2017-08-27 15:48:17.90,3356,-2701,-16392,-41,-70,153,167,-125,292,-21
,269,2017-08-27 15:48:17.91,3277,-2673,-16264,-41,-72,152,169,-125,294,-22
,270,2017-08-27 15:48:17.92,3251,-2640,-16271,-38,-68,148,169,-124,293,-22
,271,2017-08-27 15:48:17.93,3211,-2754,-16057,-27,-71,145,174,-121,295,-26
,272,2017-08-27 15:48:17.94,3160,-2786,-16013,-12,-74,142,174,-122,296,-26
,273,2017-08-27 15:48:17.95,3087,-2791,-16040,-3,-70,142,175,-125,300,-25
,274,2017-08-27 15:48:17.96,3044,-2806,-16067,10,-70,147,164,-132,296,-16
,275,2017-08-27 15:48:17.97,2974,-2808,-15897,20,-69,146,167,-129,296,-19
,276,2017-08-27 15:48:17.98,3003,-2811,-15905,25,-62,144,155,-132,287,-11
,277,2017-08-27 15:48:17.99,3067,-2766,-15926,27,-53,141,155,-132,287,-11
,278,2017-08-27 15:48:18.00,3035,-2754,-15941,25,-37,137,150,-137,287,-6
,279,2017-08-27 15:48:18.01,2961,-2745,-15885,20,-28,127,148,-137,285,-5
,280,2017-08-27 15:48:18.02,3000,-2777,-15863,16,-22,119,144,-141,285,-1
,281,2017-08-27 15:48:18.03,2927,-2768,-15973,12,-7,110,148,-137,285,-5
,282,2017-08-27 15:48:18.04,3111,-2788,-16087,7,6,100,149,-135,284,-7
,283,2017-08-27 15:48:18.05,3109,-2904,-16245,8,16,92,143,-144,287,0
,284,2017-08-27 15:48:18.06,3243,-2909,-16369,11,27,82,147,-137,284,-5
,285,2017-08-27 15:48:18.07,3058,-2913,-16610,12,35,70,148,-136,284,-6
,286,2017-08-27 15:48:18.08,3147,-2968,-16753,20,31,59,149,-136,285,-6
,287,2017-08-27 15:48:18.09,3206,-2972,-16777,20,27,52,154,-129,283,-12
,288,2017-08-27 15:48:18.10,3187,-2994,-16757,20,25,44,156,-131,287,-12
,289,2017-08-27 15:48:18.11,3174,-2912,-16682,23,18,38,159,-128,287,-15
,290,2017-08-27 15:48:18.12,3214,-2915,-16527,21,10,33,162,-127,289,-17
,291,2017-08-27 15:48:18.13,3228,-2861,-16272,22,2,26,162,-129,291,-16
,292,2017-08-27 15:48:18.14,3090,-2844,-16091,22,6,19,162,-131,293,-15
,293,2017-08-27 15:48:18.15,3184,-2812,-16065,26,11,16,162,-131,293,-15
,294,2017-08-27 15:48:18.16,3135,-2883,-16078,31,15,9,161,-129,290,-16
,295,2017-08-27 15:48:18.17,3146,-2926,-15988,33,15,9,167,-124,291,-21
,296,2017-08-27 15:48:18.18,3042,-2915,-16089,37,18,8,173,-122,295,-25
