// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2017-08-27 15:48:15.23,-232,-4563,-16898,136,-12,-66,-936,-932,-4,934
,2,2017-08-27 15:48:15.24,4,-4406,-16553,128,-24,-58,-886,-1102,216,994
,3,2017-08-27 15:48:15.25,14,-4169,-16167,126,-15,-61,-39,-842,803,440
,4,2017-08-27 15:48:15.26,-24,-4078,-16232,121,-7,-78,267,-808,1075,270
,5,2017-08-27 15:48:15.27,62,-4156,-16468,112,6,-95,-316,-1070,754,693
,6,2017-08-27 15:48:15.28,-191,-4292,-16747,110,12,-113,-1185,-1448,263,1316
,7,2017-08-27 15:48:15.29,-216,-4312,-16696,113,-2,-124,-1612,-1628,16,1620
,8,2017-08-27 15:48:15.30,-252,-4303,-16712,109,-1,-134,-765,-858,93,811
,9,2017-08-27 15:48:15.31,-240,-4122,-16650,98,-15,-142,1161,797,364,-979
,10,2017-08-27 15:48:15.32,-188,-4177,-16484,94,-27,-147,2047,1954,93,-2000
,11,2017-08-27 15:48:15.33,-61,-4187,-16386,104,-18,-148,2047,1633,414,-1840
,12,2017-08-27 15:48:15.34,-96,-4100,-16094,104,7,-150,2047,1046,1001,-1546
,13,2017-08-27 15:48:15.35,-152,-4068,-16132,104,42,-152,2047,823,1224,-1435
,14,2017-08-27 15:48:15.36,-115,-3903,-16070,114,44,-150,2047,841,1206,-1444
,15,2017-08-27 15:48:15.37,-214,-3721,-16051,117,65,-148,2047,853,1194,-1450
,16,2017-08-27 15:48:15.38,-133,-3604,-16274,104,65,-148,-164,790,-954,-313
,17,2017-08-27 15:48:15.39,-158,-3505,-16187,85,58,-148,-661,697,-1358,-18
,18,2017-08-27 15:48:15.40,-93,-3368,-16181,70,41,-147,301,620,-319,-460
,19,2017-08-27 15:48:15.41,-3,-3221,-15911,44,37,-150,1186,546,640,-866
,20,2017-08-27 15:48:15.42,118,-3175,-15875,16,57,-156,1238,498,740,-868
,21,2017-08-27 15:48:15.43,1,-3273,-15992,-6,69,-164,896,475,421,-685
,22,2017-08-27 15:48:15.44,68,-3319,-16023,-19,83,-172,681,423,258,-552
,23,2017-08-27 15:48:15.45,60,-3433,-16157,-18,88,-178,642,390,252,-516
,24,2017-08-27 15:48:15.46,34,-3514,-16263,-17,81,-181,660,358,302,-509
,25,2017-08-27 15:48:15.47,94,-3524,-16365,-4,71,-180,641,327,314,-484
,26,2017-08-27 15:48:15.48,199,-3623,-16357,11,53,-181,578,278,300,-428
,27,2017-08-27 15:48:15.49,281,-3705,-16257,33,40,-179,457,185,272,-321
,28,2017-08-27 15:48:15.50,365,-3822,-16186,55,38,-180,295,51,244,-173
,29,2017-08-27 15:48:15.51,441,-3929,-16079,78,44,-175,-32,-272,240,152
,30,2017-08-27 15:48:15.52,362,-4050,-16180,93,44,-168,23,-309,332,143
,31,2017-08-27 15:48:15.53,409,-4244,-16199,106,28,-153,-117,-448,331,282
,32,2017-08-27 15:48:15.54,328,-4339,-16348,117,16,-132,-496,-775,279,635
,33,2017-08-27 15:48:15.55,197,-4450,-16526,105,14,-107,-200,-601,401,400
,34,2017-08-27 15:48:15.56,133,-4558,-16618,100,-17,-86,-197,-536,339,366
,35,2017-08-27 15:48:15.57,4,-4532,-16706,90,-39,-64,-8,-290,282,149
,36,2017-08-27 15:48:15.58,-16,-4594,-16631,72,-51,-44,545,217,328,-381
,37,2017-08-27 15:48:15.59,207,-4511,-16321,58,-59,-31,850,549,301,-699
,38,2017-08-27 15:48:15.60,177,-4414,-15973,45,-54,-25,771,645,126,-708
,39,2017-08-27 15:48:15.61,222,-4308,-15810,37,-44,-29,-104,-113,9,108
,40,2017-08-27 15:48:15.62,353,-4124,-15703,26,-32,-38,-1140,-1122,-18,1131
,41,2017-08-27 15:48:15.63,298,-3917,-15598,5,-3,-48,-1593,-1576,-17,1584
,42,2017-08-27 15:48:15.64,246,-3865,-15466,-13,5,-59,-821,-1203,382,1012
,43,2017-08-27 15:48:15.65,249,-3883,-15196,-26,15,-64,550,-440,990,-55
,44,2017-08-27 15:48:15.66,199,-3793,-14872,-32,28,-61,1116,315,801,-715
,45,2017-08-27 15:48:15.67,120,-3657,-14876,-37,36,-65,1088,1148,-60,-1118
,46,2017-08-27 15:48:15.68,180,-3447,-15074,-40,40,-63,584,1497,-913,-1040
,47,2017-08-27 15:48:15.69,154,-3179,-15354,-50,45,-66,579,1626,-1047,-1102
,48,2017-08-27 15:48:15.70,160,-2980,-15730,-73,37,-69,832,1520,-688,-1176
,49,2017-08-27 15:48:15.71,172,-2815,-15951,-103,27,-73,898,1282,-384,-1090
