// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2017-09-02 16:53:53.75,1300,-2287,-15925,230,-234,-404,844,-879,1723,17
,2,2017-09-02 16:53:53.76,1334,-1992,-15685,232,-177,-364,1001,-986,1987,-7
,3,2017-09-02 16:53:53.77,1435,-1859,-15726,230,-124,-334,1026,-1095,2121,34
,4,2017-09-02 16:53:53.78,1551,-1506,-15721,216,-70,-320,1052,-1118,2170,33
,5,2017-09-02 16:53:53.79,1766,-1231,-15869,181,-26,-319,1040,-1071,2111,15
,6,2017-09-02 16:53:53.80,1732,-1529,-16027,146,20,-326,1018,-1037,2055,9
,7,2017-09-02 16:53:53.81,1589,-1685,-16107,117,58,-336,886,-1050,1936,82
,8,2017-09-02 16:53:53.82,1494,-2129,-16480,100,71,-326,757,-998,1755,120
,9,2017-09-02 16:53:53.83,1366,-2121,-16334,106,57,-304,875,-976,1851,50
,10,2017-09-02 16:53:53.84,1214,-2282,-16141,107,44,-275,734,-906,1640,86
,11,2017-09-02 16:53:53.85,1248,-2309,-16034,114,15,-242,714,-964,1678,125
,12,2017-09-02 16:53:53.86,1313,-2151,-16079,120,4,-209,872,-1053,1925,90
,13,2017-09-02 16:53:53.87,1419,-2026,-16226,101,8,-175,930,-1110,2040,90
,14,2017-09-02 16:53:53.88,1608,-1801,-16411,74,18,-155,876,-1092,1968,108
,15,2017-09-02 16:53:53.89,1739,-1640,-16724,44,42,-143,820,-1114,1934,147
,16,2017-09-02 16:53:53.90,1154,-1837,-17982,-46,49,-123,864,-1083,1947,109
,17,2017-09-02 16:53:53.91,989,-1299,-18071,-80,18,-106,1036,-1076,2112,20
,18,2017-09-02 16:53:53.92,1173,-1938,-17098,-138,-20,-63,824,-949,1773,62
,19,2017-09-02 16:53:53.93,1112,-2750,-17040,-133,-6,-24,684,-927,1611,121
,20,2017-09-02 16:53:53.94,1022,-3209,-17753,-92,-26,28,594,-882,1476,144
,21,2017-09-02 16:53:53.95,1261,-3136,-17748,-7,-68,88,684,-919,1603,117
,22,2017-09-02 16:53:53.96,1466,-2749,-17815,110,-126,128,890,-889,1779,0
,23,2017-09-02 16:53:53.97,1493,-1745,-18314,199,-195,138,1064,-913,1977,-75
,24,2017-09-02 16:53:53.98,1394,-698,-18268,231,-268,130,985,-866,1851,-59
,25,2017-09-02 16:53:53.99,1599,-329,-17826,212,-303,93,970,-906,1876,-32
,26,2017-09-02 16:53:54.00,1319,-377,-17498,168,-299,44,876,-945,1821,34
,27,2017-09-02 16:53:54.01,979,-548,-17784,111,-282,-3,925,-984,1909,29
,28,2017-09-02 16:53:54.02,942,-1137,-17641,61,-278,-31,858,-934,1792,38
,29,2017-09-02 16:53:54.03,770,-1513,-17098,43,-262,-55,905,-931,1836,13
,30,2017-09-02 16:53:54.04,567,-1689,-16918,40,-242,-72,884,-977,1861,46
,31,2017-09-02 16:53:54.05,473,-1641,-17019,38,-231,-76,847,-1083,1930,118
,32,2017-09-02 16:53:54.06,372,-1563,-16813,26,-210,-83,979,-1144,2123,82
,33,2017-09-02 16:53:54.07,433,-1449,-16447,19,-187,-87,936,-1159,2095,111
,34,2017-09-02 16:53:54.08,321,-1271,-16278,10,-162,-94,683,-1016,1699,166
,35,2017-09-02 16:53:54.09,371,-1288,-16262,4,-149,-105,684,-972,1656,144
,36,2017-09-02 16:53:54.10,314,-1316,-16300,-7,-126,-112,742,-979,1721,118
,37,2017-09-02 16:53:54.11,210,-1523,-16400,-10,-113,-115,874,-1015,1889,70
,38,2017-09-02 16:53:54.12,251,-1861,-16452,-7,-103,-110,868,-914,1782,23
,39,2017-09-02 16:53:54.13,-8,-2197,-16390,12,-93,-98,928,-885,1813,-21
,40,2017-09-02 16:53:54.14,56,-2292,-16111,33,-79,-77,773,-886,1659,56
,41,2017-09-02 16:53:54.15,-151,-2348,-15912,57,-60,-57,797,-958,1755,80
,42,2017-09-02 16:53:54.16,-101,-2153,-15691,76,-43,-33,994,-1048,2042,27
,43,2017-09-02 16:53:54.17,-45,-2017,-15131,92,-27,-8,1030,-1127,2157,48
,44,2017-09-02 16:53:54.18,171,-1937,-14729,107,22,7,1034,-1152,2186,59
,45,2017-09-02 16:53:54.19,413,-2171,-14860,119,76,19,963,-1137,2100,87
,46,2017-09-02 16:53:54.20,548,-2707,-15349,138,132,27,1002,-1113,2115,55
,47,2017-09-02 16:53:54.21,610,-3097,-15952,164,177,35,1101,-1121,2222,10
,48,2017-09-02 16:53:54.22,557,-3186,-16598,179,197,45,1089,-1134,2223,22
,49,2017-09-02 16:53:54.23,643,-3040,-16744,170,192,64,922,-1151,2073,114
,50,2017-09-02 16:53:54.24,740,-2759,-16686,142,188,81,970,-1147,2117,88
,51,2017-09-02 16:53:54.25,487,-2589,-16966,94,189,98,985,-1150,2135,82
,52,2017-09-02 16:53:54.26,236,-2304,-17156,43,175,113,1052,-1142,2194,45
,53,2017-09-02 16:53:54.27,70,-1797,-17070,-18,153,130,1077,-1146,2223,34
,54,2017-09-02 16:53:54.28,138,-1345,-16825,-81,138,139,1096,-1143,2239,23
,55,2017-09-02 16:53:54.29,239,-1257,-16579,-136,142,135,1124,-1150,2274,13
,56,2017-09-02 16:53:54.30,673,-1373,-16466,-165,155,115,1104,-1145,2249,20
,57,2017-09-02 16:53:54.31,817,-1252,-16524,-158,171,79,1084,-1148,2232,32
,58,2017-09-02 16:53:54.32,1026,-1288,-16970,-139,181,28,1086,-1148,2234,31
,59,2017-09-02 16:53:54.33,931,-1446,-17420,-136,201,-13,1088,-1159,2247,35
,60,2017-09-02 16:53:54.34,958,-1551,-17389,-148,215,-31,1056,-1152,2208,48
,61,2017-09-02 16:53:54.35,828,-1740,-17111,-168,227,-30,950,-1156,2106,103
,62,2017-09-02 16:53:54.36,929,-1959,-16970,-173,224,-6,1006,-1153,2159,73
,63,2017-09-02 16:53:54.37,959,-2033,-17036,-163,229,22,1042,-1163,2205,60
,64,2017-09-02 16:53:54.38,1095,-2079,-17064,-151,217,56,1092,-1151,2243,29
,65,2017-09-02 16:53:54.39,1457,-2019,-17185,-132,213,83,1088,-1154,2242,33
,66,2017-09-02 16:53:54.40,1506,-2069,-17441,-109,217,101,1034,-1115,2149,40
,67,2017-09-02 16:53:54.41,1520,-2219,-17809,-99,225,115,868,-1068,1936,100
,68,2017-09-02 16:53:54.42,1419,-2352,-17997,-99,219,136,894,-1051,1945,78
,69,2017-09-02 16:53:54.43,1458,-2955,-18052,-96,208,173,946,-1108,2054,81
,70,2017-09-02 16:53:54.44,1376,-3175,-18279,-89,202,220,858,-1035,1893,88
,71,2017-09-02 16:53:54.45,1265,-3220,-18077,-94,182,284,929,-986,1915,28
,72,2017-09-02 16:53:54.46,1427,-3095,-17364,-115,180,365,877,-934,1811,28
,73,2017-09-02 16:53:54.47,1402,-3014,-16936,-146,210,444,948,-945,1893,-1
,74,2017-09-02 16:53:54.48,1329,-3300,-16681,-177,249,538,814,-907,1721,46
,75,2017-09-02 16:53:54.49,1357,-3697,-16395,-206,301,659,799,-936,1735,68
,76,2017-09-02 16:53:54.50,1213,-4331,-16246,-227,364,810,792,-902,1694,55
,77,2017-09-02 16:53:54.51,1266,-5364,-16226,-251,438,1011,919,-947,1866,14
,78,2017-09-02 16:53:54.52,1391,-5842,-15726,-275,516,1263,1063,-1046,2109,-8
,79,2017-09-02 16:53:54.53,1678,-5651,-15103,-295,583,1545,1050,-1148,2198,49
,80,2017-09-02 16:53:54.54,2263,-4807,-14585,-304,642,1816,1065,-1192,2257,63
,81,2017-09-02 16:53:54.55,2653,-3918,-14582,-318,717,2048,1023,-1205,2228,91
,82,2017-09-02 16:53:54.56,2995,-3322,-14797,-336,779,2240,1041,-1155,2196,57
,83,2017-09-02 16:53:54.57,3007,-3076,-15064,-355,835,2396,1013,-1074,2087,30
,84,2017-09-02 16:53:54.58,3023,-2095,-15066,-360,856,2532,1075,-1065,2140,-5
,85,2017-09-02 16:53:54.59,3120,-1187,-15045,-414,896,2615,1117,-1127,2244,5
,86,2017-09-02 16:53:54.60,3054,-1832,-15482,-405,793,2681,1133,-1161,2294,14
,87,2017-09-02 16:53:54.61,3273,-1634,-16367,-399,786,2747,1168,-1181,2349,6
,88,2017-09-02 16:53:54.62,3516,-1543,-16411,-380,740,2792,1087,-1126,2213,19
,89,2017-09-02 16:53:54.63,3744,-867,-16633,-347,661,2801,990,-1006,1996,8
,90,2017-09-02 16:53:54.64,3985,-228,-17160,-339,616,2783,790,-850,1640,30
,91,2017-09-02 16:53:54.65,4350,-15,-17523,-351,577,2727,899,-844,1743,-27
,92,2017-09-02 16:53:54.66,4308,411,-17685,-360,579,2638,913,-870,1783,-21
,93,2017-09-02 16:53:54.67,4016,940,-17809,-349,582,2522,899,-945,1844,23
,94,2017-09-02 16:53:54.68,3661,1342,-18836,-313,538,2385,846,-948,1794,51
,95,2017-09-02 16:53:54.69,3346,859,-19882,-297,502,2264,1002,-1004,2006,1
,96,2017-09-02 16:53:54.70,3169,773,-19815,-280,441,2166,960,-1033,1993,36
,97,2017-09-02 16:53:54.71,3011,1565,-19239,-231,341,2067,918,-1106,2024,94
,98,2017-09-02 16:53:54.72,3084,2552,-18732,-196,236,1950,1044,-1158,2202,57
,99,2017-09-02 16:53:54.73,2961,3144,-18109,-200,203,1800,1126,-1186,2312,30
,100,2017-09-02 16:53:54.74,2903,3568,-17444,-211,175,1621,956,-1060,2016,52
