// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2017-09-02 17:34:13.36,3477,-3917,-16584,94,-73,-56,779,679,100,-729
,2,2017-09-02 17:34:13.37,3362,-3967,-16805,116,-104,-49,866,755,111,-810
,3,2017-09-02 17:34:13.38,3440,-3950,-16516,141,-125,-45,990,923,67,-956
,4,2017-09-02 17:34:13.39,3482,-3536,-16527,164,-126,-54,1096,1073,23,-1084
,5,2017-09-02 17:34:13.40,3467,-3860,-16224,164,-103,-67,1075,1065,10,-1070
,6,2017-09-02 17:34:13.41,3352,-3835,-16208,165,-83,-76,1003,997,6,-1000
,7,2017-09-02 17:34:13.42,3254,-3811,-16516,169,-71,-87,803,754,49,-778
,8,2017-09-02 17:34:13.43,3145,-3957,-16570,167,-85,-86,846,763,83,-804
,9,2017-09-02 17:34:13.44,2895,-4043,-16790,161,-93,-87,903,830,73,-866
,10,2017-09-02 17:34:13.45,2854,-4085,-16817,147,-117,-80,1003,968,35,-985
,11,2017-09-02 17:34:13.46,2825,-4172,-16535,145,-151,-71,886,810,76,-848
,12,2017-09-02 17:34:13.47,3032,-4240,-15729,146,-158,-60,901,796,105,-848
,13,2017-09-02 17:34:13.48,3339,-4213,-15296,156,-120,-67,833,746,87,-789
,14,2017-09-02 17:34:13.49,3348,-4134,-15309,165,-64,-82,888,837,51,-862
,15,2017-09-02 17:34:13.50,3379,-4206,-15628,169,-12,-96,716,616,100,-666
,16,2017-09-02 17:34:13.51,3254,-4193,-16141,172,22,-103,776,604,172,-690
,17,2017-09-02 17:34:13.52,3215,-4373,-16498,170,19,-100,939,791,148,-865
,18,2017-09-02 17:34:13.53,3047,-4318,-16651,165,-6,-92,1034,988,46,-1011
,19,2017-09-02 17:34:13.54,2994,-4482,-16429,164,-48,-78,769,736,33,-752
,20,2017-09-02 17:34:13.55,3066,-4576,-16020,166,-73,-58,838,769,69,-803
,21,2017-09-02 17:34:13.56,3188,-4601,-15602,164,-65,-44,1083,1035,48,-1059
,22,2017-09-02 17:34:13.57,3343,-4510,-15404,164,-39,-39,1152,1128,24,-1140
,23,2017-09-02 17:34:13.58,3508,-4329,-15166,166,-3,-39,1115,1114,1,-1114
